#DroneDeploy	2.75.0
#Flight Recorder
Session ID	2018-06-04-203230-118
Session Start	06/04/2018 20:32:30
#Device
Device Model	Pixel 2
Device Manufacturer	Google
Device Operating System	Android	8.1.0
#Aircraft
Aircraft Model	Inspire 2
Aircraft Name	DD Inspire Pro 2 #1
Aircraft Firmware	01.02.0100
#Aircraft Battery
Full Charge Volume (mAh)	4152
Remaining Life (%)	98
Discharges	27
#Components
Battery Cells Number	6
Battery Serial Number	09UADCU03109LJ
Battery Firmware	01.00.00.65
Flight Controller Serial Number	095XDC200200RR
Flight Controller Firmware	03.02.44.09
Gimbal Firmware	01.01.00.20
Remote Control Serial Number	09KL3A07VK
Remote Control Firmware	01.01.0010
Camera Serial Number	09CLDBV00401YQ
Camera Firmware	01.08.22.02
Date/Time (GMT)	Elapsed Time (sec)	Info	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage (mV)	Aircraft Battery Cell 2 Voltage (mV)	Aircraft Battery Cell 3 Voltage (mV)	Aircraft Battery Cell 4 Voltage (mV)	Aircraft Battery Cell 5 Voltage (mV)	Aircraft Battery Cell 6 Voltage (mV)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-Fly	Aircraft No-Fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home State	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal State Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Satellites	RC Horizontal Accuracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GPS Last Updated (ms)	RC Signal 1 (%)	RC Signal 2 (%)	RC Signal Last Updated (ms)	LB Signal 1 (%)	LB Signal 2 (%)	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens Type Value	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Device > Aircraft Distance - XY (ft)	Aircraft Vel - X	Aircraft Vel - Y	Aircraft Vel - Z	Aircraft Speed (mph)
06/04/2018 20:32:36	6.675	Mission did take off	95	3944	-13688	23736	26.100000381469727	999							37.771803179308414	-122.40742532970359	6.599999904632568	48.6	-1.3	-16.4	14.0	1	1	NAVI	14	0	1	6.5	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.79999923706055	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-41	-42	100	-41	-42	100	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.670820415019989	-0.6000000238418579	0.30000001192092896	-4.300000190734863	
06/04/2018 20:32:36	6.774		95	3944	-13688	23736	26.100000381469727	999							37.77180264747734	-122.40742524752734	6.900000095367432	48.9	-2.9	-16.5	14.0	1	1	NAVI	14	0	1	6.900000095367432	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0999984741211	0.0	47.79999923706055	YawFollowMode	2	0	0	0	100	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-41	-42	100	-41	-42	100	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.670820415019989	-0.6000000238418579	0.30000001192092896	-4.099999904632568	
06/04/2018 20:32:36	6.874		95	3944	-13688	23736	26.100000381469727	999							37.77180219760339	-122.40742521714228	7.300000190734863	48.9	-3.3	-16.0	14.0	1	1	NAVI	14	0	1	7.300000190734863	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.79999923706055	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-41	-42	100	-41	-42	100	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.5830951929092407	-0.5	0.30000001192092896	-4.0	
06/04/2018 20:32:37	6.974		95	3944	-13688	23736	26.100000381469727	999	3661	3708	3705	3621	3682	3630	37.77180219760339	-122.40742521714228	7.300000190734863	48.9	-3.3	-16.0	14.0	1	1	NAVI	14	0	1	7.300000190734863	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	108	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-41	-42	100	-41	-42	100	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.5385164618492126	-0.5	0.20000000298023224	-4.0	
06/04/2018 20:32:37	7.074		95	3944	-13688	23736	26.100000381469727	999	3661	3708	3705	3621	3682	3630	37.77180178910496	-122.40742522729225	7.699999809265137	48.8	-3.3	-15.5	14.0	1	1	NAVI	14	0	1	7.700000286102295	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	106	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	48	55	416	48	55	417	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.5385164618492126	-0.5	0.20000000298023224	-4.0	
06/04/2018 20:32:37	7.174		95	3944	-13688	23736	26.100000381469727	999	3661	3708	3705	3621	3682	3630	37.77180142532034	-122.40742525829798	8.100000381469727	48.9	-3.7	-15.8	14.0	1	1	NAVI	14	0	1	8.100000381469727	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	107	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	48	55	416	48	55	417	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.5385164618492126	-0.5	0.20000000298023224	-3.9000000953674316	
06/04/2018 20:32:37	7.274		95	3944	-20692	23208	26.100000381469727	1001	3661	3708	3705	3621	3682	3630	37.77180109813012	-122.40742530505963	8.5	49.1	-4.3	-15.6	14.0	1	1	NAVI	14	0	1	8.5	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	4	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	48	55	416	48	55	417	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.5385164618492126	-0.5	0.20000000298023224	-3.9000000953674316	
06/04/2018 20:32:37	7.374		95	3944	-20692	23208	26.100000381469727	1001	3661	3708	3705	3621	3682	3630	37.77180085084194	-122.40742537431103	8.800000190734863	49.0	-4.3	-15.1	14.0	1	1	NAVI	14	0	1	9.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	4	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	48	55	416	48	55	417	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.44721361994743347	-0.4000000059604645	0.20000000298023224	-3.9000000953674316	
06/04/2018 20:32:37	7.474		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180062125861	-122.40742540671346	9.300000190734863	48.9	-4.2	-15.2	14.0	1	1	NAVI	14	0	1	9.40000057220459	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.79999923706055	YawFollowMode	2	0	0	0	2	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	48	55	416	48	55	417	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.44721361994743347	-0.4000000059604645	0.20000000298023224	-3.9000000953674316	
06/04/2018 20:32:37	7.574		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.7718004623066	-122.40742548882199	9.699999809265137	48.9	-4.5	-15.4	14.0	1	1	NAVI	14	0	1	9.800000190734863	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-46	-48	2	-46	-48	1	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.3162277638912201	-0.30000001192092896	0.10000000149011612	-4.0	
06/04/2018 20:32:37	7.674		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180033263239	-122.40742553892022	10.100000381469727	48.8	-5.0	-16.2	14.0	1	1	NAVI	14	0	1	10.199999809265137	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	100	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-46	-48	2	-46	-48	1	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.3162277638912201	-0.30000001192092896	0.10000000149011612	-4.0	
06/04/2018 20:32:37	7.774		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180031550889	-122.40742563233329	10.5	48.7	-4.5	-16.1	14.0	1	1	NAVI	14	0	1	10.600000381469727	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	100	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-46	-48	2	-46	-48	1	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	-0.10000000149011612	0.0	-4.0	
06/04/2018 20:32:37	7.874		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180042521635	-122.40742581725326	10.899999618530273	48.7	-4.6	-15.2	14.0	1	1	NAVI	14	0	1	11.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	201	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-46	-48	2	-46	-48	1	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	0.0	-4.0	
06/04/2018 20:32:38	7.974		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180064610867	-122.40742606843403	11.300000190734863	48.7	-4.5	-13.3	14.0	1	1	NAVI	14	0	1	11.40000057220459	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-46	-48	2	-46	-48	1	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	0.0	-4.099999904632568	
06/04/2018 20:32:38	8.074		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180098525127	-122.40742639500866	11.800000190734863	48.5	-3.9	-11.3	14.0	1	1	NAVI	14	0	1	11.90000057220459	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	4	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	72	65	506	72	65	506	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	0.10000000149011612	0.0	-4.099999904632568	
06/04/2018 20:32:38	8.174		95	3944	-20692	23208	26.100000381469727	1001	3788	3831	3828	3761	3817	3766	37.77180098525127	-122.40742639500866	11.800000190734863	48.5	-3.9	-11.3	14.0	1	1	NAVI	14	0	1	11.90000057220459	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	99	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	72	65	506	72	65	506	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	0.10000000149011612	0.0	-4.099999904632568	
06/04/2018 20:32:38	8.274		95	3944	-14950	22236	26.100000381469727	1000	3788	3831	3828	3761	3817	3766	37.77180172409626	-122.40742697833832	12.600000381469727	48.4	-2.8	-9.9	14.0	1	1	NAVI	14	0	1	12.699999809265137	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	99	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	72	65	506	72	65	506	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	0.10000000149011612	0.0	-4.199999809265137	
06/04/2018 20:32:38	8.374		95	3944	-14950	22236	26.100000381469727	1000	3788	3831	3828	3761	3817	3766	37.77180202470865	-122.40742716041655	13.100000381469727	48.3	-2.4	-10.9	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	2	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	72	65	506	72	65	506	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	0.0	0.10000000149011612	-4.199999809265137	
06/04/2018 20:32:38	8.474		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.77180227046324	-122.40742739646792	13.5	48.3	-2.2	-11.3	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	63	58	429	63	58	429	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.1414213627576828	0.10000000149011612	0.10000000149011612	-4.199999809265137	
06/04/2018 20:32:38	8.574		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.77180251007534	-122.40742758331818	13.899999618530273	48.3	-2.3	-10.7	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	104	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-45	-55	103	-45	-55	103	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.1414213627576828	0.10000000149011612	0.10000000149011612	-4.199999809265137	
06/04/2018 20:32:38	8.674		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.771802766153854	-122.40742776477163	14.399999618530273	48.2	-1.6	-11.6	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	99	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-45	-55	103	-45	-55	103	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.1414213627576828	0.10000000149011612	0.10000000149011612	-4.099999904632568	
06/04/2018 20:32:38	8.774		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.77180297559414	-122.407427880991	14.800000190734863	48.3	-2.2	-11.7	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	103	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-45	-55	103	-45	-55	103	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	0.0	0.10000000149011612	-4.099999904632568	
06/04/2018 20:32:38	8.874		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.77180322720503	-122.40742803173207	15.199999809265137	48.3	-2.5	-11.2	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	102	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-45	-55	103	-45	-55	103	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.10000000149011612	0.0	0.10000000149011612	-4.099999904632568	
06/04/2018 20:32:39	8.974		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.7718034122842	-122.40742801369313	15.600000381469727	48.2	-1.8	-12.4	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-45	-55	103	-45	-55	103	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.30000001192092896	0.0	0.30000001192092896	-4.099999904632568	
06/04/2018 20:32:39	9.074		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.77180352265729	-122.40742784653624	16.0	48.2	-1.1	-13.6	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	71	60	516	71	60	516	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.30000001192092896	0.0	0.30000001192092896	-4.0	
06/04/2018 20:32:39	9.174		95	3944	-14950	22236	26.100000381469727	1000	3778	3825	3820	3751	3812	3759	37.77180356244994	-122.40742761619134	16.399999618530273	48.2	-0.7	-14.5	14.0	1	1	NAVI	14	0	0	0.0	0	Very strong	5	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	213	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	71	60	516	71	60	516	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.3162277638912201	-0.10000000149011612	0.30000001192092896	-4.0	
06/04/2018 20:32:39	9.274		94	3902	-14394	23268	26.200000762939453	999	3778	3825	3820	3751	3812	3759	37.77180358761388	-122.4074270774995	17.200000762939453	48.4	-1.2	-16.2	13.0	1	1	NAVI	14	0	0	0.0	0	Very good	4	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	98	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	71	60	516	71	60	516	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.3162277638912201	-0.10000000149011612	0.30000001192092896	-4.0	
06/04/2018 20:32:39	9.374		94	3902	-14394	23268	26.200000762939453	999	3850	3888	3883	3821	3872	3816	37.77180362709184	-122.40742689121402	17.700000762939453	48.4	-1.5	-16.5	13.0	1	1	NAVI	14	0	0	0.0	0	Very good	4	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0	0.0	47.70000076293945	YawFollowMode	2	0	0	0	101	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	71	60	516	71	60	516	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.3162277638912201	-0.10000000149011612	0.30000001192092896	-4.0	
06/04/2018 20:32:39	9.474		94	3902	-14394	23268	26.200000762939453	999	3850	3888	3883	3821	3872	3816	37.77180362709184	-122.40742689121402	17.700000762939453	48.4	-1.5	-16.5	13.0	1	1	NAVI	14	0	0	0.0	0	Very good	4	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	101	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	102	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	53	72	404	53	72	404	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.3162277638912201	-0.10000000149011612	0.30000001192092896	-4.0	
06/04/2018 20:32:39	9.574		94	3902	-14394	23268	26.200000762939453	999	3850	3888	3883	3821	3872	3816	37.77180372297707	-122.4074266881112	18.5	48.2	-1.7	-15.6	13.0	1	1	NAVI	14	0	0	0.0	0	Very good	4	null	0	0.0	0.0	0.0	37.77181085673832	-122.4074317468288	0	0	0	0	N/A	0.0	0	IDLE	100	-89.0999984741211	0.0	47.70000076293945	YawFollowMode	2	0	0	0	100	1	Retracting	4	Auto	1	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	-59	-61	100	-59	-61	100	null	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.1414213627576828	-0.10000000149011612	0.10000000149011612	-4.0	
